lat,lon,LC_TYPE,rand_point_id
26.6986,-80.3747,coal,1
28.9656,-82.6977,coal,2
33.8239,-84.4758,coal,3
26.6967,-81.7831,coal,4
31.0069,-88.0103,coal,5
27.6058,-82.3456,Oil,1
43.4586,-76.5319,Oil,2
38.5367,-77.2806,Oil,3
41.7694,-70.5097,Oil,4
17.9519,-66.2308,Oil,5
26.6986,-80.3747,natrual gas,1
28.9656,-82.6977,natrual gas,2
33.8239,-84.4758,natrual gas,3
26.6967,-81.7831,natrual gas,4
31.0069,-88.0103,natrual gas,5
